Latitude;Longitude;Naam;Stad;Hoofdinstelling;Aantal locaties ;Hoofdlocatie;Aantal bedden;Opmerking bedden;Eerste poliklinische bezoeken (2018);Eerste poliklinische bezoeken (2022);Dagbehandelingen;Klinische opnames;Aantal medewerkers;Verzorgingsgebied;Sanquin uitwisseling;Partner [Ja/Nee];Contract datum;Straat;Nummer;Postcode;Type instelling;Type ziekenhuis;Aantal locaties norm.;Aantal bedden norm.;Eerste poliklinische bezoeken (2023) norm.;Dagbehandelingen norm.;Klinische opnames norm.;Aantal medewerkers norm.;Sanquin uitwisseling norm.;Som;Som norm.;Website
52,0568729;4,3384465;Polikliniek de Blaak - Rijswijk;Rijswijk;Polikliniek de Blaak;3;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
51,9190785;4,4857557;Polikliniek de Blaak - Rotterdam;Rotterdam;Polikliniek de Blaak;3;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
51,5756889;4,9946707;Polikliniek de Blaak - Tilburg;Tilburg;Polikliniek de Blaak;3;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
51,5044075;5,3793662;Polikliniek Proktovar - Best;Best;Polikliniek Proktovar;2;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,2837743;6,7769165;Polikliniek Proktovar - Hengelo;Hengelo;Polikliniek Proktovar;2;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,09017434;5,183775142;Prinses Maxima Centrum Utrecht;Utrecht;Prinses Maxima Centrum Utrecht;1;-;;;;;;;;;;Nee;;;;;Ziekenhuis;;;;;;;;;;;https://prinsesmaximacentrum.nl/
52,3481207;4,8255051;Proctos Kliniek - Amsterdam;Amsterdam;Proctos Kliniek;3;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,1545436;5,2070458;Proctos Kliniek - Bilthoven;Bilthoven;Proctos Kliniek;3;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
51,9196766;4,4952396;Proctos Kliniek - Rotterdam;Rotterdam;Proctos Kliniek;3;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
53,2219832;6,5735409;QPS;Groningen;QPS;1;-;;;;;;;;;;Nee;;Hanzeplein;1;9713 GZ;Farmaceut;;;;;;;;;;;
51,82305409;5,862410576;Radboud Universitair Medisch Centrum;Nijmegen;Radboud Universitair Medisch Centrum;2;Ja;1100;;97100;78766;17785;21616;11000;;36;Nee;;Geert Grooteplein Zuid;10;6525GA;Ziekenhuis;Academisch (NFU);0,13;0,8;0,29;0,34;0,16;0,67;0,11;2,49;0,57;https://www.radboudumc.nl
51,8227303;5,8637499;Radboud Universitair Medisch Centrum - Amalia Kinderziekenhuis;Nijmegen;Radboud Universitair Medisch Centrum;2;Nee;;;;;;;;;;Nee;;;;;Ziekenhuis;;;;;;;;;;;
51,7919433;4,6824239;Regionaal Laboratorium Medische Microbiologie - Dordrecht (Albert Schwietzer Ziekenhuis);Dordrecht;;0;-;;;;;;;;;;Nee;;Albert Schweitzerplaats;25;3318 AT;Laboratorium;;;;;;;;;;;
51,8386893;4,9574576;Regionaal Laboratorium Medische Microbiologie - Gorinchem (Beatrixziekenhuis);Gorinchem;;0;-;;;;;;;;;;Nee;;Banneweg ;57;4204 AA;Laboratorium;;;;;;;;;;;
51,99722622;4,337299455;Reinier de Graaf Gasthuis - Delft;Delft;Haga Groep/Reinier de Graaf Ziekenhuis;4;Ja;481;;89618;89618;18062;19895;2500;450000;113;Nee;;Reinier de Graafweg;5;2625AD;Ziekenhuis;;0,27;0,27;0,35;0,35;0,14;0,11;0,35;1,83;0,38;https://reinierdegraaf.nl/
52,0609883;4,3513778;Reinier de Graaf Gasthuis - Voorburg;Voorburg;Haga Groep/Reinier de Graaf Ziekenhuis;4;Nee;;;;;;;;;;Nee;;;;;Polikliniek;;;;;;;;;;;
51,9903841;4,2160906;Reinier de Graaf Gasthuis - Westland;Naaldwijk;Haga Groep/Reinier de Graaf Ziekenhuis;4;Nee;;;;;;;;;;Nee;;;;;Ziekenhuis;;;;;;;;;;;
